feature_name,f_score,f_pvalue,mutual_info,bundle
linguistic_bundle_avg_politeness,34.80923386744304,8.623912629716644e-09,0.06315603396246883,linguistic_bundle
linguistic_bundle_avg_exclamation,0.9823191589877812,0.3223155375487474,0.04231426443105457,linguistic_bundle
contextual_bundle_task_complexity,3.220919622569334,0.07357050776606743,0.04080538062971151,contextual_bundle
system_bundle_response_clarity,3.220919622569333,0.07357050776606743,0.019690094318430162,system_bundle
dialogue_bundle_avg_turn_length,9.121313963729763,0.002713235801424,0.0142800596560273,dialogue_bundle
system_bundle_response_relevance,4.227126733398092,0.04052821929738348,0.007422234941059758,system_bundle
user_model_bundle_trust_decline,1.0469243697478992,0.3069272302436953,0.0034999667330772866,user_model
linguistic_bundle_avg_confusion,4.227126733398086,0.04052821929738348,0.0,linguistic_bundle
linguistic_bundle_avg_negation,2.2419225012792827,0.13522032684167795,0.0,linguistic_bundle
dialogue_bundle_corrections,1.8641770948379293,0.1730253994400715,0.0,dialogue_bundle
behavioral_bundle_escalation_requests,3.0980977743960176,0.07926230890267243,0.0,behavioral_bundle
contextual_bundle_avg_urgency,0.7112993958494193,0.3995921057894085,0.0,contextual_bundle
